epoch,loss,accuracy,initialization,seed
1,0.6931471806,0.5000,zero,42
2,0.6931471806,0.5000,zero,42
3,0.6931471806,0.5000,zero,42
4,0.6931471806,0.5000,zero,42
5,0.6931471806,0.5000,zero,42
6,0.6931471806,0.5000,zero,42
7,0.6931471806,0.5000,zero,42
8,0.6931471806,0.5000,zero,42
9,0.6931471806,0.5000,zero,42
10,0.6931471806,0.5000,zero,42
11,0.6931471806,0.5000,zero,42
12,0.6931471806,0.5000,zero,42
13,0.6931471806,0.5000,zero,42
14,0.6931471806,0.5000,zero,42
15,0.6931471806,0.5000,zero,42
16,0.6931471806,0.5000,zero,42
17,0.6931471806,0.5000,zero,42
18,0.6931471806,0.5000,zero,42
19,0.6931471806,0.5000,zero,42
20,0.6931471806,0.5000,zero,42
21,0.6931471806,0.5000,zero,42
22,0.6931471806,0.5000,zero,42
23,0.6931471806,0.5000,zero,42
24,0.6931471806,0.5000,zero,42
25,0.6931471806,0.5000,zero,42
26,0.6931471806,0.5000,zero,42
27,0.6931471806,0.5000,zero,42
28,0.6931471806,0.5000,zero,42
29,0.6931471806,0.5000,zero,42
30,0.6931471806,0.5000,zero,42
31,0.6931471806,0.5000,zero,42
32,0.6931471806,0.5000,zero,42
33,0.6931471806,0.5000,zero,42
34,0.6931471806,0.5000,zero,42
35,0.6931471806,0.5000,zero,42
36,0.6931471806,0.5000,zero,42
37,0.6931471806,0.5000,zero,42
38,0.6931471806,0.5000,zero,42
39,0.6931471806,0.5000,zero,42
40,0.6931471806,0.5000,zero,42
41,0.6931471806,0.5000,zero,42
42,0.6931471806,0.5000,zero,42
43,0.6931471806,0.5000,zero,42
44,0.6931471806,0.5000,zero,42
45,0.6931471806,0.5000,zero,42
46,0.6931471806,0.5000,zero,42
47,0.6931471806,0.5000,zero,42
48,0.6931471806,0.5000,zero,42
49,0.6931471806,0.5000,zero,42
50,0.6931471806,0.5000,zero,42
51,0.6931471806,0.5000,zero,42
52,0.6931471806,0.5000,zero,42
53,0.6931471806,0.5000,zero,42
54,0.6931471806,0.5000,zero,42
55,0.6931471806,0.5000,zero,42
56,0.6931471806,0.5000,zero,42
57,0.6931471806,0.5000,zero,42
58,0.6931471806,0.5000,zero,42
