epoch,loss,accuracy,initialization,seed
1,0.7498574301,0.7500,he,42
2,0.7232848790,0.7500,he,42
3,0.7099117449,0.2500,he,42
4,0.7009566254,0.5000,he,42
5,0.6940612095,0.5000,he,42
6,0.6859583453,0.5000,he,42
7,0.6763857053,0.5000,he,42
8,0.6662109323,0.5000,he,42
9,0.6556922026,0.7500,he,42
10,0.6465937726,0.7500,he,42
11,0.6368476539,1.0000,he,42
12,0.6259682321,1.0000,he,42
13,0.6141069018,1.0000,he,42
14,0.6026305421,1.0000,he,42
15,0.5886476570,1.0000,he,42
16,0.5724798524,1.0000,he,42
17,0.5529871669,1.0000,he,42
18,0.5341268109,1.0000,he,42
19,0.5117440929,1.0000,he,42
20,0.4863441395,1.0000,he,42
21,0.4657899125,1.0000,he,42
22,0.4430647153,1.0000,he,42
23,0.4178879639,1.0000,he,42
24,0.3933561095,1.0000,he,42
25,0.3712337664,1.0000,he,42
26,0.3504320283,1.0000,he,42
27,0.3283661556,1.0000,he,42
28,0.3122653988,1.0000,he,42
29,0.2940653025,1.0000,he,42
30,0.2752724757,1.0000,he,42
31,0.2558636796,1.0000,he,42
32,0.2363134830,1.0000,he,42
33,0.2185163078,1.0000,he,42
34,0.2040367517,1.0000,he,42
35,0.1899756114,1.0000,he,42
36,0.1777323576,1.0000,he,42
37,0.1660505718,1.0000,he,42
38,0.1549287475,1.0000,he,42
39,0.1451767926,1.0000,he,42
40,0.1353430884,1.0000,he,42
41,0.1266278696,1.0000,he,42
42,0.1185533589,1.0000,he,42
43,0.1108929297,1.0000,he,42
44,0.1042305957,1.0000,he,42
45,0.0977931193,1.0000,he,42
46,0.0922700907,1.0000,he,42
47,0.0871618272,1.0000,he,42
48,0.0823762089,1.0000,he,42
49,0.0778870991,1.0000,he,42
50,0.0737493242,1.0000,he,42
51,0.0698936060,1.0000,he,42
52,0.0663028744,1.0000,he,42
53,0.0629951214,1.0000,he,42
54,0.0599795645,1.0000,he,42
55,0.0571731364,1.0000,he,42
56,0.0545473144,1.0000,he,42
57,0.0521247675,1.0000,he,42
58,0.0498474341,1.0000,he,42
59,0.0477053137,1.0000,he,42
60,0.0456912890,1.0000,he,42
61,0.0438177211,1.0000,he,42
62,0.0420726584,1.0000,he,42
63,0.0404284432,1.0000,he,42
64,0.0388805689,1.0000,he,42
65,0.0374320600,1.0000,he,42
66,0.0361000198,1.0000,he,42
67,0.0348035159,1.0000,he,42
68,0.0336086771,1.0000,he,42
69,0.0324818453,1.0000,he,42
70,0.0314217092,1.0000,he,42
71,0.0304209880,1.0000,he,42
72,0.0294819633,1.0000,he,42
73,0.0285951452,1.0000,he,42
74,0.0278643762,1.0000,he,42
75,0.0269653684,1.0000,he,42
76,0.0262138223,1.0000,he,42
77,0.0255020048,1.0000,he,42
78,0.0248243626,1.0000,he,42
79,0.0241762747,1.0000,he,42
80,0.0235600441,1.0000,he,42
81,0.0229716207,1.0000,he,42
82,0.0224133030,1.0000,he,42
83,0.0218798463,1.0000,he,42
84,0.0213679682,1.0000,he,42
85,0.0208765431,1.0000,he,42
86,0.0204066019,1.0000,he,42
87,0.0199547187,1.0000,he,42
88,0.0195200740,1.0000,he,42
89,0.0191489223,1.0000,he,42
90,0.0187184358,1.0000,he,42
91,0.0183436106,1.0000,he,42
92,0.0179838881,1.0000,he,42
93,0.0176375820,1.0000,he,42
94,0.0173013307,1.0000,he,42
95,0.0169750574,1.0000,he,42
96,0.0166596961,1.0000,he,42
97,0.0163537346,1.0000,he,42
98,0.0160570866,1.0000,he,42
99,0.0157722725,1.0000,he,42
100,0.0154956461,1.0000,he,42
Final: loss=0.015496, accuracy=100.00%, initialization=he, seed=42
